"category_type","category_name","subcategory","num_rows","num_projects","project_name"
,"ALL",,"370","7",
,"Financial","Arrears owed by respondent","172","3",
,"Financial","Burial Society","32","1","South Africa GAFIS"
,"Financial","Consumer/ personal loan (not payday loan)","1","1","India Financial Diaries"
,"Financial","Credit given for a good","41","2",
,"Financial","Equitel Loan","4","1","Kenya Financial Diaries"
,"Financial","Funeral installment plan","18","1","South Africa GAFIS"
,"Financial","Health insurance","1","1","India Financial Diaries"
,"Financial","Hire Purchase","2","1","India Financial Diaries"
,"Financial","KCB M-PESA Loan","14","1","Kenya Financial Diaries"
,"Financial","KCB M-PESA Saving Account","16","1","Kenya Financial Diaries"
,"Financial","Life insurance","33","2",
,"Financial","Loan from employer","8","1","India Financial Diaries"
,"Financial","Mortgage","1","1","India Financial Diaries"
,"Financial","Pawn","10","1","India Financial Diaries"
,"Financial","Providing Credit to Clients","3","1","South Africa GAFIS"
,"Financial","Supplier Credit","23","1","India Financial Diaries"
,"Financial","Vehicle insurance","1","1","Mexico Financial Diaries"
,"Financial","Wage advance","7","1","India Financial Diaries"
,"Financial","Wage arrears","116","6",
,"Financial","Wage or Rental Arrears","1","1","South Africa GAFIS"
"credits","ALL",,"809","7",
"credits","Financial","Act as a money guard","75","5",
"credits","Financial","Agent agricultural credit","103","2",
"credits","Financial","Arrears owed by respondent","36","2",
"credits","Financial","Borrowing from Informal Group","193","5",
"credits","Financial","Business loan","74","6",
"credits","Financial","Consumer/ personal loan (not payday loan)","51","3",
"credits","Financial","Credit at store","515","7",
"credits","Financial","Credit card (including store credit card)","30","3",
"credits","Financial","Debts Under Administration","1","1","South Africa GAFIS"
"credits","Financial","Friends and family: borrowing","608","7",
"credits","Financial","Group Enterprise Loan","3","1","Kenya Financial Diaries"
"credits","Financial","Hire Purchase","106","6",
"credits","Financial","Joint Liability Loan","145","4",
"credits","Financial","Loan from employer","24","3",
"credits","Financial","M-SHWARI or Kopa Chapaa Loan","51","1","Kenya Financial Diaries"
"credits","Financial","Moneylender Borrowing","79","6",
"credits","Financial","Mortgage","2","1","Mexico Financial Diaries"
"credits","Financial","Okoa Jahazi","142","1","Kenya Financial Diaries"
"credits","Financial","Pawn","19","4",
"credits","Financial","Payday loan","2","1","Kenya Financial Diaries"
"credits","Financial","School Fees Loan","11","1","Kenya Financial Diaries"
"credits","Financial","Stima Loan","2","1","Kenya Financial Diaries"
"credits","Financial","Student loan","5","2",
"credits","Financial","Supplier Credit","54","5",
"credits","Financial","Wage advance","45","4",
"expense","ALL",,"912","7",
"expense","Allowances, donations, and gifts","Contributions to community police or neighborhood association","141","4",
"expense","Allowances, donations, and gifts","Donations to a house of worship, or to a charity","147","2",
"expense","Allowances, donations, and gifts","Donations to church or mosque, or to a charity","35","1","Smallholders Tanzania"
"expense","Allowances, donations, and gifts","Donations to church, another house of worship, or to a charity","344","2",
"expense","Allowances, donations, and gifts","Donations to church, other house of worship, or charity","45","1","South Africa GAFIS"
"expense","Allowances, donations, and gifts","Donations to house of worship (temple, mosque), or to a charity","70","1","India Financial Diaries"
"expense","Allowances, donations, and gifts","Informal payments (bribes, tips, protection money, etc.)","1","1","South Africa GAFIS"
"expense","Allowances, donations, and gifts","Pocket money for kids within household (if can't account for it elsewhere)","54","1","South Africa GAFIS"
"expense","Allowances, donations, and gifts","Purchase of gifts","8","1","Smallholders Mozambique"
"expense","Allowances, donations, and gifts","Purchase of gifts (within household only)","5","1","South Africa GAFIS"
"expense","Allowances, donations, and gifts","Purchase of gifts for other household members","266","5",
"expense","Care items","Diapers","9","1","India Financial Diaries"
"expense","Care items","Medicine and medical supplies","24","1","South Africa GAFIS"
"expense","Care items","Medicines","78","1","India Financial Diaries"
"expense","Care items","Nappies and other baby supplies","17","1","South Africa GAFIS"
"expense","Care items","Personal care/toiletries/beauty products","100","2",
"expense","Care services","Child care","10","1","India Financial Diaries"
"expense","Care services","Child care (in house or day care center)","2","1","South Africa GAFIS"
"expense","Care services","Medical services (clinics, hospitals, dispensaries,)","41","1","India Financial Diaries"
"expense","Care services","Medical services (include all out-of-pocket expenses on services, including traditional healers)","11","1","South Africa GAFIS"
"expense","Care services","Personal care services (barber, hair or nail salon, spa)","34","1","South Africa GAFIS"
