country_name,country_code,capital_city,note,capital_type,city_code,lat,lon,population,iso
Afghanistan,4,Kabul,,Capital,20002,34.528887,69.17246,4436.255,AFG
Albania,8,TiranÃ« (Tirana),,Capital,20005,41.3275,19.81889,444.58,ALB
Algeria,12,El DjazaÃ¯r  (Algiers),1,Capital,20006,36.7525,3.04197,2559.445,DZA
American Samoa,16,Pago Pago,,Capital,20047,-14.27806,-170.7025,48.274,ASM
Andorra,20,Andorra la Vella,,Capital,20048,42.50779,1.52109,23.449,AND
Angola,24,Luanda,,Capital,20049,-8.83682,13.23432,5288.267,AGO
Anguilla,660,The Valley,,Capital,22407,18.21704,-63.05783,1.039,
Antigua and Barbuda,28,St. John's,,Capital,20052,17.11717,-61.84573,21.989,ATG
Argentina,32,Buenos Aires,2,Capital,20058,-34.605083,-58.400368,15023.811,ARG
Armenia,51,Yerevan,,Capital,20140,40.181998,44.514619,1048.641,ARM
Aruba,533,Oranjestad,,Capital,21954,12.52398,-70.02703,29.041,
Australia,36,Canberra,,Capital,206175,-35.28346,149.12807,414.684,AUS
Austria,40,Wien (Vienna),,Capital,20107,48.206443,16.370725,1743.284,AUT
Azerbaijan,31,Baku,3,Capital,20053,40.37767,49.89201,2317.14,AZE
Bahamas,44,Nassau,,Capital,20108,25.05823,-77.34306,266.765,BHS
Bahrain,48,Al-Manamah (Manama),4,Capital,20109,26.21536,50.5832,397.623,BHR
Bangladesh,50,Dhaka,5,Capital,20119,23.7104,90.40744,16982.363,BGD
Barbados,52,Bridgetown,,Capital,20141,13.1,-59.61667,90.265,BRB
Belarus,112,Minsk,3,Capital,20348,53.9,27.56667,1905.252,BLR
Belgium,56,Bruxelles-Brussel,6,Capital,20144,50.846735,4.349919,2028.657,BEL
Belize,84,Belmopan,,Capital,20310,17.25,-88.76667,16.921,BLZ
Benin,204,Cotonou,,Economic Capital,20888,6.36536,2.41833,680.285,BEN
Benin,204,Porto-Novo,,Constitutional Capital,20891,6.49646,2.60359,268.057,BEN
Bermuda,60,Hamilton,,Capital,20150,32.29149,-64.77797,10.334,BMU
Bhutan,64,Thimphu,,Capital,20151,27.46609,89.64191,152.398,BTN
Bolivia (Plurinational State of),68,La Paz,,Seat of Government,20153,-16.5,-68.15,1800.308,
Bolivia (Plurinational State of),68,Sucre,,Constitutional Capital,20158,-19.03332,-65.26274,358.337,
Bosnia and Herzegovina,70,Sarajevo,,Capital,20164,43.84864,18.35644,321.714,BIH
