country,description,iso
Afghanistan,"opium, fruits and nuts, handwoven carpets, wool, cotton, hides and pelts, precious and semi-precious gems",AFG
Albania,"textiles and footwear; asphalt, metals and metallic ores, crude oil; vegetables, fruits, tobacco",ALB
Algeria,"petroleum, natural gas, and petroleum products 97%",DZA
American Samoa,canned tuna 93%,ASM
Andorra,"tobacco products, furniture",AND
Angola,"crude oil, diamonds, refined petroleum products, coffee, sisal, fish and fish products, timber, cotton",AGO
Anguilla,"lobster, fish, livestock, salt, concrete blocks, rum",
Antigua and Barbuda,"petroleum products, bedding, handicrafts, electronic components, transport equipment, food and live animals",ATG
Argentina,"soybeans and derivatives, petroleum and gas, vehicles, corn, wheat",ARG
Armenia,"pig iron, unwrought copper, nonferrous metals, diamonds, mineral products, foodstuffs, energy",ARM
Aruba,"live animals and animal products, art and collectibles, machinery and electrical equipment, transport equipment",
Australia,"coal, iron ore, gold, meat, wool, alumina, wheat, machinery and transport equipment",AUS
Austria,"machinery and equipment, motor vehicles and parts, paper and paperboard, metal goods, chemicals, iron and steel, textiles, foodstuffs",AUT
Azerbaijan,"oil and gas 90%, machinery, cotton, foodstuffs",AZE
Bahrain,"petroleum and petroleum products, aluminum, textiles",BHR
Bangladesh,"garments, knitwear, agricultural products, frozen food (fish and seafood), jute and jute goods, leather",BGD
Barbados,"manufactures, sugar and molasses, rum, other foods and beverages, chemicals, electrical components",BRB
Belarus,"machinery and equipment, mineral products, chemicals, metals, textiles, foodstuffs",BLR
Belgium,"machinery and equipment, chemicals, finished diamonds, metals and metal products, foodstuffs",BEL
Belize,"sugar, bananas, citrus, clothing, fish products, molasses, wood, crude oil",BLZ
Benin,"cotton, cashews, shea butter, textiles, palm products, seafood",BEN
Bermuda,reexports of pharmaceuticals,BMU
Bhutan,"electricity (to India), ferrosilicon, cement, calcium carbide, copper wire, manganese, vegetable oil",BTN
Bolivia,"natural gas, soybeans and soy products, crude petroleum, zinc ore, tin",BOL
Bosnia and Herzegovina,"metals, clothing, wood products",BIH
Botswana,"diamonds, copper, nickel, soda ash, meat, textiles",BWA
Brazil,"transport equipment, iron ore, soybeans, footwear, coffee, autos",BRA
British Virgin Islands,"rum, fresh fish, fruits, animals; gravel, sand",VGB
Brunei,"crude oil, natural gas, garments",BRN
Bulgaria,"clothing, footwear, iron and steel, machinery and equipment, fuels",BGR
Burkina Faso,"gold, cotton, livestock",BFA
Burma,"natural gas, wood products, pulses, beans, fish, rice, clothing, jade and gems",
Burundi,"coffee, tea, sugar, cotton, hides",BDI
Cambodia,"clothing, timber, rubber, rice, fish, tobacco, footwear",KHM
Cameroon,"crude oil and petroleum products, lumber, cocoa beans, aluminum, coffee, cotton",CMR
Canada,"motor vehicles and parts, industrial machinery, aircraft, telecommunications equipment; chemicals, plastics, fertilizers; wood pulp, timber, crude petroleum, natural gas, electricity, aluminum",CAN
Cape Verde,"fuel, shoes, garments, fish, hides",CPV
Cayman Islands,"turtle products, manufactured consumer goods",CYM
Central African Republic,"diamonds, timber, cotton, coffee",CAF
Chad,"oil, cattle, cotton, gum arabic",TCD
Chile,"copper, fruit, fish products, paper and pulp, chemicals, wine",CHL
China,"electrical and other machinery, including data processing equipment, apparel, radio telephone handsets, textiles, integrated circuits",CHN
Christmas Island,phosphate,
Cocos (Keeling) Islands,copra,
