region;country;year;value
SADC;AGO;2000;9123000000,00
SADC;AGO;2001;8931056775,23
SADC;AGO;2002;15224775440,37
SADC;AGO;2003;17812704619,24
SADC;AGO;2004;23580896472,97
SADC;AGO;2005;36970901177,06
SADC;AGO;2006;52380879745,85
SADC;AGO;2007;65266395791,84
SADC;AGO;2008;88538592579,00
SADC;AGO;2009;73188603370,02
SADC;AGO;2010;83368660590,23
SADC;AGO;2011;111042883684,07
SADC;AGO;2012;125513898064,99
SADC;AGO;2013;135249000000,00
SADC;BWA;2000;5787884427,87
SADC;BWA;2001;5489423388,58
SADC;BWA;2002;5439969588,02
SADC;BWA;2003;7511885694,90
SADC;BWA;2004;8955750190,99
SADC;BWA;2005;9918713265,18
SADC;BWA;2006;10137883291,27
SADC;BWA;2007;10937993310,13
SADC;BWA;2008;11112971698,82
SADC;BWA;2009;10106890551,66
SADC;BWA;2010;13746755472,00
SADC;BWA;2011;15365293473,85
SADC;BWA;2012;14554280198,62
SADC;BWA;2013;14802329169,76
SADC;COD;2000;60418525211,66
SADC;COD;2001;10799773626,02
SADC;COD;2002;8733150432,48
SADC;COD;2003;8946345514,36
SADC;COD;2004;10327944696,97
SADC;COD;2005;11967717083,88
SADC;COD;2006;14489025877,06
SADC;COD;2007;16366202400,30
SADC;COD;2008;19143407059,53
SADC;COD;2009;16004366684,01
SADC;COD;2010;20060516732,97
SADC;COD;2011;24296928164,05
SADC;COD;2012;28449273187,28
SADC;COD;2013;32011000000,00
SADC;LSO;2000;775710413,84
SADC;LSO;2001;707147699,40
SADC;LSO;2002;659298642,11
SADC;LSO;2003;964665720,09
SADC;LSO;2004;1245731048,58
SADC;LSO;2005;1359650726,32
SADC;LSO;2006;1422864487,59
SADC;LSO;2007;1596434507,98
SADC;LSO;2008;1623049345,82
SADC;LSO;2009;1723759998,14
SADC;LSO;2010;2187891659,89
SADC;LSO;2011;2546171432,52
SADC;LSO;2012;2425721232,66
SADC;LSO;2013;2230136408,20
SADC;MDG;2000;3879102147,48
SADC;MDG;2001;4528531242,55
SADC;MDG;2002;4395302821,58
SADC;MDG;2003;5471054984,76
SADC;MDG;2004;4364295445,24
SADC;MDG;2005;5039357940,36
SADC;MDG;2006;5515888725,63
SADC;MDG;2007;7342832187,47
SADC;MDG;2008;9412842033,75
SADC;MDG;2009;8543837972,95
SADC;MDG;2010;8729936135,73
SADC;MDG;2011;9892787845,82
SADC;MDG;2012;9863765157,54
SADC;MDG;2013;10558061220,10
SADC;MWI;2000;1291000000,00
SADC;MWI;2001;1838000000,00
SADC;MWI;2002;2877167225,98
SADC;MWI;2003;2672104462,63
SADC;MWI;2004;3164842848,07
SADC;MWI;2005;3324202134,23
SADC;MWI;2006;3671560834,54
SADC;MWI;2007;4052459988,57
SADC;MWI;2008;5124546619,22
SADC;MWI;2009;5966329794,76
SADC;MWI;2010;6790574086,38
SADC;MWI;2011;7290000000,00
SADC;MWI;2012;5653000000,00
SADC;MWI;2013;5079712675,35
SADC;MUS;2000;4663204462,93
SADC;MUS;2001;4613554086,57
SADC;MUS;2002;4841666801,54
SADC;MUS;2003;5816866543,03
SADC;MUS;2004;6578449277,20
SADC;MUS;2005;6487948513,01
SADC;MUS;2006;6852137381,17
SADC;MUS;2007;7778068218,04
SADC;MUS;2008;9672261203,77
SADC;MUS;2009;8839860993,71
SADC;MUS;2010;9684978957,59
SADC;MUS;2011;11235165217,39
SADC;MUS;2012;11488005345,81
SADC;MUS;2013;11937394136,81
SADC;MOZ;2000;4816946130,14
SADC;MOZ;2001;4613567671,36
SADC;MOZ;2002;5076749717,90
SADC;MOZ;2003;5663607407,33
SADC;MOZ;2004;6895859103,71
SADC;MOZ;2005;7648483132,93
SADC;MOZ;2006;8304567400,40
SADC;MOZ;2007;9293767001,97
SADC;MOZ;2008;11086067317,76
SADC;MOZ;2009;11051185841,56
SADC;MOZ;2010;10467459134,21
SADC;MOZ;2011;13248446035,68
SADC;MOZ;2012;15044786333,67
SADC;MOZ;2013;15729611915,17
SADC;NAM;2000;3931157824,97
SADC;NAM;2001;3550606751,93
SADC;NAM;2002;3374247493,79
SADC;NAM;2003;4908420017,66
SADC;NAM;2004;6668488383,47
SADC;NAM;2005;7215166269,45
SADC;NAM;2006;7945227350,20
SADC;NAM;2007;8735162334,89
SADC;NAM;2008;8446841595,19
SADC;NAM;2009;8953834264,31
SADC;NAM;2010;11276125625,29
SADC;NAM;2011;12413087199,92
SADC;NAM;2012;13053277580,53
SADC;NAM;2013;13160939531,45
SADC;SYC;2000;611860614,35
SADC;SYC;2001;615530496,74
SADC;SYC;2002;694005525,14
SADC;SYC;2003;699931934,59
SADC;SYC;2004;839319935,21
SADC;SYC;2005;919103261,99
SADC;SYC;2006;1016540365,68
SADC;SYC;2007;1032862578,34
SADC;SYC;2008;969419473,28
SADC;SYC;2009;849203073,77
SADC;SYC;2010;969747437,47
SADC;SYC;2011;1074675715,96
SADC;SYC;2012;1129085855,58
SADC;SYC;2013;1438569469,37
SADC;ZAF;2000;136450333799,55
SADC;ZAF;2001;121600818309,68
SADC;ZAF;2002;115748110112,68
SADC;ZAF;2003;175256916996,05
SADC;ZAF;2004;228937347865,86
SADC;ZAF;2005;257671413750,83
SADC;ZAF;2006;271811088781,18
SADC;ZAF;2007;299033511000,23
SADC;ZAF;2008;287099991516,90
SADC;ZAF;2009;297216730668,94
SADC;ZAF;2010;375298134440,47
SADC;ZAF;2011;417056293171,20
SADC;ZAF;2012;397871341463,42
SADC;ZAF;2013;366631431535,27
SADC;SWZ;2000;1533295784,66
SADC;SWZ;2001;1356001719,02
SADC;SWZ;2002;1228968463,04
SADC;SWZ;2003;1845425313,46
