region,year,sector,value,country
,2010,GDP,"341100000000,00",THA
,2010,GDP,"0,00",CUW
,2010,GDP,"15900000000,00",AFG
,2017,GDP,"20800000000,00",AFG
,2010,Agriculture,"4134000000,00",AFG
,2017,Agriculture,"4368000000,00",AFG
,2010,Industry,"3339000000,00",AFG
,2017,Industry,"4576000000,00",AFG
,2010,Manufacturing,"1908000000,00",AFG
,2017,Manufacturing,"2288000000,00",AFG
,2010,Services(value added),"7806900000,00",AFG
,2017,Services(value added),"11024000000,00",AFG
,2010,GDP,"11900000000,00",ALB
,2017,GDP,"13000000000,00",ALB
,2010,Agriculture,"2142000000,00",ALB
,2017,Agriculture,"2470000000,00",ALB
,2010,Industry,"2975000000,00",ALB
,2017,Industry,"2730000000,00",ALB
,2010,Manufacturing,"595000000,00",ALB
,2017,Manufacturing,"780000000,00",ALB
,2010,Services(value added),"5236000000,00",ALB
,2017,Services(value added),"6149000000,00",ALB
,2010,GDP,"161200000000,00",DZA
,2017,GDP,"170400000000,00",DZA
,2010,Agriculture,"12896000000,00",DZA
,2017,Agriculture,"20448000000,00",DZA
,2010,Industry,"80600000000,00",DZA
,2017,Industry,"61344000000,00",DZA
,2010,Manufacturing,"8060000000,00",DZA
,2017,Manufacturing,"8520000000,00",DZA
,2010,Services(value added),"0,00",DZA
,2017,Services(value added),"75146400000,00",DZA
,2010,GDP,"600000000,00",ASM
,2017,GDP,"700000000,00",ASM
,2010,Agriculture,"0,00",ASM
,2017,Agriculture,"0,00",ASM
,2010,Industry,"0,00",ASM
,2017,Industry,"0,00",ASM
,2010,Manufacturing,"0,00",ASM
,2017,Manufacturing,"0,00",ASM
,2010,Services(value added),"0,00",ASM
,2017,Services(value added),"0,00",ASM
,2010,GDP,"3400000000,00",AND
,2017,GDP,"3000000000,00",AND
,2010,Agriculture,"0,00",AND
,2017,Agriculture,"0,00",AND
,2010,Industry,"442000000,00",AND
,2017,Industry,"300000000,00",AND
,2010,Manufacturing,"136000000,00",AND
,2017,Manufacturing,"90000000,00",AND
,2010,Services(value added),"2655400000,00",AND
,2017,Services(value added),"2376000000,00",AND
,2010,GDP,"1200000000,00",ATG
,2017,GDP,"1500000000,00",ATG
,2010,Agriculture,"24000000,00",ATG
,2017,Agriculture,"30000000,00",ATG
,2010,Industry,"192000000,00",ATG
,2017,Industry,"270000000,00",ATG
,2010,Manufacturing,"24000000,00",ATG
,2017,Manufacturing,"30000000,00",ATG
,2010,Services(value added),"852000000,00",ATG
,2017,Services(value added),"1038000000,00",ATG
,2010,GDP,"423600000000,00",ARG
,2017,GDP,"637600000000,00",ARG
